Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,138.8925,-109.25,270.0,bottom
C1,134.379077,-99.986577,0.0,bottom
C10,138.6425,-84.5,0.0,bottom
C2,141.3925,-84.75,180.0,bottom
C3,140.1425,-87.75,180.0,bottom
C4,131.3925,-88.0,90.0,bottom
C5,140.3925,-96.5,270.0,bottom
C6,139.8925,-98.0,180.0,bottom
C7,134.379077,-98.736577,180.0,bottom
C8,138.8925,-77.75,90.0,bottom
C9,137.3925,-81.0,90.0,bottom
D1,33.8425,-68.85,270.0,bottom
D10,224.3425,-68.85,270.0,bottom
D11,33.8425,-87.9,270.0,bottom
D12,52.8925,-87.9,270.0,bottom
D13,71.9425,-87.9,270.0,bottom
D14,90.9925,-87.9,270.0,bottom
D15,110.0425,-87.9,270.0,bottom
D16,148.1425,-87.9,270.0,bottom
D17,167.1925,-87.9,270.0,bottom
D18,186.2425,-87.9,270.0,bottom
D19,205.2925,-87.9,270.0,bottom
D2,52.8925,-68.85,270.0,bottom
D20,224.3425,-87.9,270.0,bottom
D21,33.8425,-106.95,270.0,bottom
D22,52.8925,-106.95,270.0,bottom
D23,71.9425,-106.95,270.0,bottom
D24,90.9925,-106.95,270.0,bottom
D25,110.0425,-106.95,270.0,bottom
D26,148.1425,-106.95,270.0,bottom
D27,167.1925,-106.95,270.0,bottom
D28,186.2425,-106.95,270.0,bottom
D29,205.2925,-106.95,270.0,bottom
D3,71.9425,-68.85,270.0,bottom
D30,224.3425,-106.95,270.0,bottom
D31,71.9425,-130.7625,270.0,bottom
D32,90.9925,-130.7625,270.0,bottom
D33,114.805,-130.7625,270.0,bottom
D34,143.38,-130.7625,270.0,bottom
D35,167.1925,-130.7625,270.0,bottom
D36,186.2425,-130.7625,270.0,bottom
D4,90.9925,-68.85,270.0,bottom
D5,110.0425,-68.85,270.0,bottom
D6,148.1425,-68.85,270.0,bottom
D7,167.1925,-68.85,270.0,bottom
D8,186.2425,-68.85,270.0,bottom
D9,205.2925,-68.85,270.0,bottom
F1,135.8925,-78.75,180.0,bottom
J1,135.8925,-68.0,0.0,bottom
LED1,212.6175,-133.175,180.0,bottom
LED2,221.6175,-133.175,180.0,bottom
LED3,230.6175,-133.175,180.0,bottom
MX1,40.6425,-72.85,180.0,bottom
MX10,231.1425,-72.85,180.0,bottom
MX11,40.6425,-91.9,180.0,bottom
MX12,59.6925,-91.9,180.0,bottom
MX13,78.7425,-91.9,180.0,bottom
MX14,97.7925,-91.9,180.0,bottom
MX15,116.8425,-91.9,180.0,bottom
MX16,154.9425,-91.9,180.0,bottom
MX17,173.9925,-91.9,180.0,bottom
MX18,193.0425,-91.9,180.0,bottom
MX19,212.0925,-91.9,180.0,bottom
MX2,59.6925,-72.85,180.0,bottom
MX20,231.1425,-91.9,180.0,bottom
MX21,40.6425,-110.95,180.0,bottom
MX22,59.6925,-110.95,180.0,bottom
MX23,78.7425,-110.95,180.0,bottom
MX24,97.7925,-110.95,180.0,bottom
MX25,116.8425,-110.95,180.0,bottom
MX26,154.9425,-110.95,180.0,bottom
MX27,173.9925,-110.95,180.0,bottom
MX28,193.0425,-110.95,180.0,bottom
MX29,212.0925,-110.95,180.0,bottom
MX3,78.7425,-72.85,180.0,bottom
MX30,231.1425,-110.95,180.0,bottom
MX31,78.7425,-134.7625,180.0,bottom
MX32,97.7925,-134.7625,180.0,bottom
MX33,121.605,-134.7625,180.0,bottom
MX34,150.18,-134.7625,180.0,bottom
MX35,173.9925,-134.7625,180.0,bottom
MX36,193.0425,-134.7625,180.0,bottom
MX4,97.7925,-72.85,180.0,bottom
MX5,116.8425,-72.85,180.0,bottom
MX6,154.9425,-72.85,180.0,bottom
MX7,173.9925,-72.85,180.0,bottom
MX8,193.0425,-72.85,180.0,bottom
MX9,212.0925,-72.85,180.0,bottom
R1,138.8925,-75.75,0.0,bottom
R2,138.8925,-73.25,180.0,bottom
R3,137.1425,-102.25,0.0,bottom
R4,134.6425,-102.25,0.0,bottom
RST1,132.8925,-109.25,90.0,bottom
SW1,56.7175,-137.2625,180.0,top
U1,135.8925,-92.25,0.0,bottom
U2,135.8925,-74.5,90.0,bottom
U3,140.1425,-82.0,0.0,bottom
